year,date,title,type,group,distance_m,distance_km,laps,reps,pace,intensity,rest_sec,rest,label,parse_source,parse_confidence
2025,2025-12-06,いだてん岱明練習,set,,,,,,,,,,600m ×1（57秒/300m組） 600m k/3:10,practice_field,full
2025,2025-12-06,いだてん岱明練習,set,,,,,,,,,,600m ×1（60秒/300m組） 600m k/3:20,practice_field,full
2025,2025-12-06,いだてん岱明練習,set,,,,,,,,,,600m ×1（63秒/300m組） 600m k/3:30,practice_field,full
2025,2025-12-06,いだてん岱明練習,interval,,600,,,1,,,,,,practice_field,full
2025,2025-12-06,いだてん岱明練習,interval,,600,,,1,,,,,,practice_field,full
2025,2025-12-06,いだてん岱明練習,interval,,600,,,1,,,,,,practice_field,full
2025,2025-12-13,いだてん岱明練習,jog,,,2.93,3,,k/4:32,,,,,practice_field,full
2025,2025-12-13,いだてん岱明練習,set,,,,,,,,,,600m +300m 900m 600m k/3:00 / 300m k/3:20,practice_field,full
2025,2025-12-20,いだてん岱明練習,jog,,,8.4,15,,k/5:07,,,,,practice_field,full
2025,2025-12-20,いだてん岱明練習,jog,,,9.53,17,,k/5:07,,,,,practice_field,full
2025,2025-12-27,いだてん岱明練習,jog,,,3.33,6,,k/5:03,,,,,practice_field,full
2025,2025-12-27,いだてん岱明練習,set,男子,,,,,,,,,男子 1680m+1120m 2800m 2:10組 k/3:52 / 1:55組 k/3:25,practice_field,full
2025,2025-12-27,いだてん岱明練習,set,女子,,,,,,,,,女子 1120m+560m 1680m 2:10組 k/3:52 / 1:55組 k/3:25,practice_field,full
2025,2025-12-29,いだてん岱明練習,jog,,,5.53,10,,k/4:51,,,,,practice_field,full
