Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
自分の練習,2025-06-03,2025-06-03,予定,done,"ランニング, 自分の練習",,"ペース: k/4'18
距離: 6.97km
時間: 30'00
負荷: 72
",,true
Dさんリモート,2025-06-04,2025-06-04,予定,scheduled,,,,,true
自分の練習,2025-06-04,2025-06-04,予定,done,"ランニング, 自分の練習",,"ペース: k/4'24
距離: 10.01km
時間: 43'59
負荷: 131
",,true
いだてん岱明練習,2025-06-05,2025-06-05,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
200m2本

ジョグ 男子 4.48km (8周) k/4:16
ジョグ 女子 3.36km (6周) k/4:16
",,true
藤本さん・Dさん・土山リモート,2025-06-05,2025-06-05,予定,scheduled,,,,,true
中学選手権,2025-06-07,2025-06-07,予定,scheduled,,,,,true
藤本さん・Dさん・土山リモート,2025-06-09,2025-06-09,予定,scheduled,,,,,true
荒尾選手権,2025-06-14,2025-06-14,予定,scheduled,,,,,true
いだてん岱明練習,2025-06-21,2025-06-21,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
間は他の組がやっている時間

800m組 600m+300m 600m k/3:30 / 300m k/3:10
1500m組 900m+600m 900m k/3:30 / 600m k/3:10
",,true
コーヒーにお金を使わない期間開始,2025-06-22,2025-06-22,予定,scheduled,,,,,true
コーヒーを買わない開始日,2025-06-26,2025-06-26,予定,scheduled,,,,,true
通信陸上,2025-06-28,2025-06-28,予定,scheduled,,,,,true
永井監督祝い実行委員会,2025-06-28T11:00:00,2025-06-28,予定,scheduled,,,,,false
岱明中3年第1回実力テスト,2025-07-01,2025-07-01,予定,scheduled,,,,,true
いだてん岱明練習,2025-07-05,2025-07-05,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

ジョグ 男子（クロカン） 5km k/4:28
ジョグ 女子（クロカン） 4km k/4:55
坂道走3本 120mくらい
",,true
熊本県長距離記録会,2025-07-05,2025-07-05,予定,scheduled,,,1500m出場予定,,true
いだてん岱明練習,2025-07-12,2025-07-12,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
間は他の組がやっている時間

1500m組 600m+300m 600m k/3:10 / 300m k/3:00
800m組 300m+300m k/3:00
3000m組 900m+300m 900m k/3:20 / 300m k/3:00
",,true
国体スポーツ最終選考,2025-07-12,2025-07-12,予定,scheduled,,,800m,,true
玉名市練習会,2025-07-12,2025-07-12,予定,scheduled,,,,,true
大牟田チャレンジゲームズ,2025-07-13,2025-07-13,予定,scheduled,,,,,true
いだてん岱明練習,2025-07-19,2025-07-19,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
200m2本

ジョグ 男子 4.48km (8周) k/4:28
ジョグ 女子 3.36km (6周) k/5:21
",,true
岱明中夏休み,2025-07-19,2025-07-19,予定,scheduled,,,,,true
熊本県中体連陸上,2025-07-19,2025-07-19,予定,scheduled,,,,,true
海の日,2025-07-21,2025-07-21,祝日,,holiday,,日本の祝日,,true
半休,2025-07-24T04:00:00,2025-07-24,予定,scheduled,,,,,false
藤本さんリモート,2025-07-25,2025-07-25,予定,scheduled,,,,,true
いだてん岱明練習,2025-07-26,2025-07-26,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

600m（300m63秒/300m組） 600m k/3:30
600m（300m69秒/300m組） 600m k/3:50
",,true
いだてん岱明練習,2025-07-28,2025-07-28,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
100m流し4本
",,true
カフェイン断ち開始,2025-07-29,2025-07-29,予定,scheduled,,,,,true
藤本さんリモート,2025-07-29,2025-07-29,予定,scheduled,,,,,true
半休,2025-07-29T04:00:00,2025-07-29,予定,scheduled,,,,,false
藤本さんリモート,2025-07-30,2025-07-30,予定,scheduled,,,,,true
土山リモート,2025-07-31,2025-07-31,予定,scheduled,,,,,true
半休,2025-07-31T04:00:00,2025-07-31,予定,scheduled,,,,,false
熊本市陸上競技記録会,2025-08-02,2025-08-02,予定,scheduled,,,1500mに出場予定,,true
玉名選手権,2025-08-02,2025-08-02,予定,done,ランニング,,"100m
小学男子
中尾快斗　14.54　PB相当

800m
小学男子
中尾快斗　2:40.0　PB相当

中1女子
角田亜美　2:48.2
塚原優衣　2:49.1

中学代表女子
角田里奈　2:48.7

1500m
中1男子
山本悟瑠　5:11.1
田中智稀　5:48.3

中学代表男子
松野凛空　4:47.9
倉田裕斗　4:52.6
",,true
自販機でブラックコーヒーを買わない開始,2025-08-05,2025-08-05,予定,scheduled,,,,,true
藤本さん・Dさん・土山リモート,2025-08-06,2025-08-06,予定,scheduled,,,,,true
いだてん岱明練習（午前）,2025-08-07,2025-08-07,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

ジョグ 10周 6.29km k/4:39
",,true
いだてん岱明練習（午後）,2025-08-07,2025-08-07,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

男子900m 1本目 900m k/4:00
女子600m 1本目 600m k/4:00
男子900m 2本目 900m k/3:50
女子600m 2本目 600m k/3:50
男子900m 3本目 900m k/3:40
女子600m 3本目 600m k/3:40
",,true
夏季休暇,2025-08-07,2025-08-07,予定,scheduled,,,,,true
いだてん岱明練習,2025-08-09,2025-08-09,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 12周 6.29km k/4:39
",,true
カフェイン断ち開始,2025-08-09,2025-08-09,予定,scheduled,,,,,true
山の日,2025-08-11,2025-08-11,祝日,,holiday,,日本の祝日,,true
Dさんリモート,2025-08-12,2025-08-12,予定,scheduled,,,,,true
いだてん岱明練習,2025-08-12,2025-08-12,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 12周 6.26km k/4:55
",,true
夏季休暇,2025-08-12,2025-08-12,予定,scheduled,,,,,true
お盆,2025-08-13,2025-08-13,予定,scheduled,,,,,true
夏期練習会・親睦BBQ,2025-08-16,2025-08-16,予定,scheduled,,,,,true
岱明中同窓会,2025-08-16T08:30:00,2025-08-16,予定,scheduled,,,,,false
いだてん岱明練習（午前）,2025-08-21,2025-08-21,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 12周 6.13km k/4:44
",,true
いだてん岱明練習（午後）,2025-08-21,2025-08-21,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

ジョグ 6周 3.36km (6周) k/4:18
200m×5 男子 200m×5 k/3:10〜k/3:20
200m×5 女子 200m×5 k/3:30〜k/3:40
",,true
土山リモート,2025-08-21,2025-08-21,予定,scheduled,,,,,true
有休,2025-08-21,2025-08-21,予定,scheduled,,,,,true
玉名市練習会(桃田),2025-08-21T10:00:00,2025-08-21,予定,scheduled,,,,,false
MDC申込締切,2025-08-22,2025-08-22,予定,scheduled,,,,,true
U16陸上競技大会県予選会,2025-08-23,2025-08-23,予定,scheduled,,,,,true
永井監督を祝う会打ち合わせ,2025-08-23T10:00:00,2025-08-23,予定,scheduled,,,,,false
玉名市練習会(桃田),2025-08-24T10:00:00,2025-08-24,予定,scheduled,,,,,false
カフェイン断ち,2025-08-27,2025-08-27,予定,scheduled,,,,,true
岱明中3年第2回実力テスト,2025-08-28,2025-08-28,予定,scheduled,,,,,true
玉名市練習会(岱明),2025-08-28T10:00:00,2025-08-28,予定,scheduled,,,,,false
玉名郡ナイター陸上,2025-08-30,2025-08-30,予定,done,ランニング,,"男子
1500m
3年
倉田裕斗　4分48秒1
佐藤央琉　4分55秒0
案浦竜士　5分10秒1

2年
松野凛空　4分47秒9

1年
山本哲瑠　4分57秒9
田上颯人　5分00秒5
鍋島優斗　5分39秒0
松岡崇二朗　5分39秒3
松本空羽　5分56秒3
田中智稀　5分59秒1

女子
1500m
2年
村上咲稀　5分30秒9
高田麻由　5分33秒2

1年
塚原優衣　5分49秒4
角田亜美　6分6秒1

800m
3年
角田里奈　2分47秒4
",,true
玉名市練習会(桃田),2025-08-31T10:00:00,2025-08-31,予定,scheduled,,,,,false
岱明中2年職場体験,2025-09-02,2025-09-02,予定,scheduled,,,,,true
絶対にカフェイン断ち,2025-09-04,2025-09-04,予定,scheduled,,,,,true
MDC九州(大牟田),2025-09-06,2025-09-06,予定,scheduled,,,,,true
Dさんリモート,2025-09-08,2025-09-08,予定,scheduled,,,,,true
玉名市練習会,2025-09-09T10:00:00,2025-09-09,予定,scheduled,,,,,false
岱明中前期期末テスト,2025-09-10,2025-09-10,予定,scheduled,,,,,true
藤本さん・Dさん・土山リモート,2025-09-10,2025-09-10,予定,scheduled,,,,,true
玉名市練習会,2025-09-11T10:00:00,2025-09-11,予定,scheduled,,,,,false
カフェイン断ち開始,2025-09-12,2025-09-12,予定,scheduled,,,,,true
玉名市練習会,2025-09-14T10:00:00,2025-09-14,予定,scheduled,,,,,false
いだてん岱明練習,2025-09-15,2025-09-15,予定,scheduled,"ランニング, いだてん岱明練習",,"ジョグ 4周 2.24km (4周) k/3:52
男子 追加2周（設定） 1.12km (2周) k/3:16
男子 追加2周（実際） 1.12km (2周) k/3:07
女子 追加2周（設定） 1.12km (2周) k/3:52
女子 追加2周（実際） 1.12km (2周) k/3:34
",,true
敬老の日,2025-09-15,2025-09-15,祝日,,holiday,,日本の祝日,,true
いだてん岱明練習,2025-09-16,2025-09-16,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 10周 5.11km k/4:24
",,true
午後休,2025-09-16,2025-09-16,予定,scheduled,,,,,true
玉名市練習会,2025-09-18T10:00:00,2025-09-18,予定,scheduled,,,,,false
カフェイン断ち,2025-09-19,2025-09-19,予定,scheduled,,,,,true
県民体育祭,2025-09-20,2025-09-20,予定,scheduled,,,,,true
なごみ駅伝,2025-09-21,2025-09-21,予定,done,ランニング,,"女子
8位　31:22
1区　村上咲稀　7:06 区間4位
2区　高田麻由　7:37 区間7位
3区　塚原優衣　8:11 区間18位
4区　角田亜美　8:28 区間12位

男子A
8位　41:42
1区　松野凛空　10:14 区間15位
2区　今村昇磨　10:05 区間4位
3区　佐藤央琉　10:42 区間10位
4区　案浦竜士　10:41 区間10位

男子B
31位　47:37
1区　山本悟瑠　10:48 区間24位
2区　田上颯人　10:55 区間16位
3区　松岡崇二朗　13:17 区間34位
4区　松本空羽　12:37 区間31位
",,true
歓迎会,2025-09-22T10:00:00,2025-09-22,予定,scheduled,,,,,false
いだてん岱明練習,2025-09-23,2025-09-23,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 12周 6.34km k/4:23
",,true
秋分の日,2025-09-23,2025-09-23,祝日,,holiday,,日本の祝日,,true
中学生ジュニア駅伝大会,2025-09-27,2025-09-27,予定,done,ランニング,,"女子
チャレンジの部　優勝　36分47秒
1区　2.7km 村上咲稀　9分37秒　区間3位
2区　2.3km 高田麻由　8分38秒　区間2位
3区　2.3km 角田里奈　9分39秒　区間12位
4区　2.3km 増岡里俐　8分53秒　区間3位
オープン　2.3km
塚原優衣　9分04秒　21位
角田亜美　9分25秒　33位

男子
チャレンジの部　優勝　45分07秒
1区　3.0km 倉田裕斗　10分01秒　区間8位
2区　2.6km 松野凛空　9分00秒　区間7位
3区　2.6km 佐藤央琉　8分40秒　区間1位
4区　2.6km 案浦竜士　8分55秒　区間2位
5区　2.6km 今村昇磨　8分31秒　区間1位
オープン2.6km
山本哲瑠　8分41秒
田上颯人　9分02秒
松本空羽　10分09秒
田中智稀　10分26秒

参考
女子
南関　36分53秒（チャンピオンシップ）
荒尾海陽　37分34秒（チャレンジ）
玉名高附　37分36秒（チャンピオンシップ）

男子
玉名高附　44分51秒（チャンピオンシップ）
南関　46分01秒（チャンピオンシップ）
南関　48分13秒（チャレンジ）
",,true
岱明駅伝試走,2025-10-02,2025-10-02,予定,scheduled,,,,,true
Dさんリモート,2025-10-03,2025-10-03,予定,scheduled,,,,,true
いだてん岱明練習,2025-10-04,2025-10-04,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 12周 6.30km k/4:39
",,true
カフェイン断ち開始,2025-10-04,2025-10-04,予定,scheduled,,,,,true
藤本さんリモート,2025-10-06,2025-10-06,予定,scheduled,,,,,true
合宿休,2025-10-08,2025-10-08,予定,scheduled,,,,,true
岱明駅伝試走,2025-10-08,2025-10-08,予定,scheduled,,,,,true
玉名市地域部活動運営会議,2025-10-08T10:00:00,2025-10-08,予定,scheduled,,,,,false
藤本さんリモート,2025-10-10,2025-10-10,予定,scheduled,,,,,true
いだてん岱明練習,2025-10-11,2025-10-11,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し

ジョグ 12周 6.23km k/4:19
",,true
熊本県長距離記録会,2025-10-11,2025-10-11,予定,scheduled,,,,,true
いだてん岱明練習,2025-10-13,2025-10-13,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

ジョグ 4周 2.24km (4周) k/3:45
男子 1000m+500m 1000m k/3:20 / 500m k/2:48
女子 500m+500m 1本目 k/3:30 / 2本目 k/3:22
",,true
スポーツの日,2025-10-13,2025-10-13,祝日,,holiday,,日本の祝日,,true
合宿休,2025-10-15,2025-10-15,予定,scheduled,,,,,true
玉名荒尾中体連駅伝大会,2025-10-15,2025-10-15,予定,done,ランニング,,"女子
45:22 総合7位（昨年は45:06の6位、昨年の6位相等、2位とは1分37秒、3位とは58秒差）
1区　村上咲稀2　7位通過　11:02  区間7位
2区　増岡里俐1　4位通過　7:01   区間3位
3区　角田亜美1　8位通過　7:44   区間8位
4区　塚原優衣1　8位通過　8:03   区間8位
5区　高田麻由2　7位通過　11:32  区間6位

男子
59:08 総合6位（昨年は1:05:15の15位、昨年の4位相等、2位とは1分06秒、3位とは31秒差）
1区　倉田裕斗3　7位通過　9:32  区間7位
2区　松野凛空2　7位通過　9:27  区間6位
3区　今村昇磨2　5位通過　9:38  区間4位
4区　佐藤央琉3　6位通過　10:22  区間8位
5区　山本哲瑠1　5位通過　9:37  区間2位（区間新）
6区　案浦竜士3　6位通過   10:32  区間9位
",,true
18期合宿,2025-10-17,2025-10-17,予定,scheduled,,,,,true
