Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
いだてん岱明練習,2025-12-13,2025-12-13,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
たくさん走る日と質が高い日は分けた方が心身にかかる負荷を分散できそう。

ジョグ 3周 2.93km k/4:32
600m+300m 900m 600m k/3:00 / 300m k/3:20
",,true
岱明陸上忘年会,2025-12-13T10:00:00,2025-12-13,予定,scheduled,,,,,false
遅めの400mインターバル,2025-12-14,2025-12-14,予定,done,自分の練習,,20本、83-42-83-44-83-44-83-44-84-43-83-44-84-44-83-42-84-46-83-43-84-43-83-43-84-44-83-44-83-44-83-44-83-43-83-43-83-44-82,,true
岱明中校内駅伝大会,2025-12-15,2025-12-15,予定,scheduled,,,,,true
遅めの400mインターバル,2025-12-16,2025-12-16,予定,done,自分の練習,,12本、84-45-83-45-84-44-83-43-84-43-84-44-84-44-83-45-84-46-83-47-85-49-84,,true
いだてん岱明練習,2025-12-20,2025-12-20,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し
最初は長いかなと感じたが、無事完走。長く走れるようになってきている。本田くんが最後まで完走したのにはびっくりした。ケガにはお互い注意を払いたい。

ロングジョグ 女子 8.4km (15周) k/5:07
ロングジョグ 男子 9.53km (17周) k/5:07
",,true
永井監督を祝う会MTG,2025-12-20T10:00:00,2025-12-20,予定,scheduled,,,,,false
カフェイン断ち,2025-12-24,2025-12-24,予定,scheduled,,,,,true
岱明中冬休み,2025-12-25,2025-12-25,予定,scheduled,,,,,true
仕事納め,2025-12-26,2025-12-26,予定,scheduled,,,,,true
いだてん岱明練習,2025-12-27,2025-12-27,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
2:10秒組は少しキツそうだった。田上はほぼできていた。松野と山本もほぼいけていた。松野はスタミナに課題。山本は離れても粘れる。

ジョグ 6周 3.33km k/5:03
男子 1680m+1120m 2800m 2:10組 k/3:52 / 1:55組 k/3:25
女子 1120m+560m 1680m 2:10組 k/3:52 / 1:55組 k/3:25
",,true
年末年始休暇,2025-12-27,2025-12-27,予定,scheduled,,,,,true
永井監督を祝う会,2025-12-28T08:00:00,2025-12-28,予定,scheduled,,,,,false
いだてん岱明練習,2025-12-29,2025-12-29,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり
流し4本

ジョグ 10周 5.53km k/4:51
",,true
玉名市選考会,2025-12-30,2025-12-30,予定,scheduled,,,,,true
