year,rank,team,total,leg,name,grade,split,cumulative,source_drive_id
2023,1,荒尾三,42:32,5,中尾美空,2,10:38,42:32,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,1,松山悠南,3,9:59,9:59,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,2,中尾杏朱,2,6:49,16:48,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,3,宮本奈英,1,7:35,24:23,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,4,高田春陽,2,7:43,32:06,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,5,松山杏海,1,10:39,42:45,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,3,玉名,43:31,1,東果凛,2,11:00,11:00,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,3,玉名,43:31,2,高木心菜,3,6:38,17:38,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,3,玉名,43:31,3,辻美空,1,7:15,24:53,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,3,玉名,43:31,4,三嶋悠里,3,7:20,32:13,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,3,玉名,43:31,5,西澤葵,3,11:18,43:31,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,4,荒尾海陽,43:55,1,本山怜実,3,10:54,10:54,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,4,荒尾海陽,43:55,2,中西萌唯,2,7:07,18:01,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,4,荒尾海陽,43:55,3,片山佳音,1,7:11,25:12,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,4,荒尾海陽,43:55,4,時任幸菜,2,7:28,32:40,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,4,荒尾海陽,43:55,5,武重安奈,3,11:15,43:55,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2022,1,長洲,41:58,1,西川侑里,3,9:46,9:46,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,1,長洲,41:58,2,濱口葵,2,7:05,16:51,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,1,長洲,41:58,3,藤本千尋,3,7:16,24:07,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,1,長洲,41:58,4,中島愛那,1,6:58,31:05,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,1,長洲,41:58,5,福田みさ,1,10:53,41:58,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,2,荒尾四,43:31,1,松山悠南,2,10:09,10:09,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,2,荒尾四,43:31,2,中尾彩朱,1,7:14,17:23,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,2,荒尾四,43:31,3,上田歩,1,7:27,24:50,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,2,荒尾四,43:31,4,高田春陽,1,8:01,32:51,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,2,荒尾四,43:31,5,嘉富雅,3,10:40,43:31,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,3,荒尾海陽,43:59,1,塚本実彩貴,3,11:36,11:36,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,3,荒尾海陽,43:59,2,杉本幸希,2,6:55,18:31,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,3,荒尾海陽,43:59,3,本山怜実,2,7:05,25:36,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,3,荒尾海陽,43:59,4,時任幸菜,1,7:35,33:11,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,3,荒尾海陽,43:59,5,武重安奈,2,10:48,43:59,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,4,荒尾三,44:17,1,吉里紗和,3,10:32,10:32,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,4,荒尾三,44:17,2,松本りおな,3,6:56,17:28,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,4,荒尾三,44:17,3,内野花笑,1,7:06,24:34,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,4,荒尾三,44:17,4,柿本和花,2,7:29,32:03,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2022,4,荒尾三,44:17,5,田尻明,2,12:14,44:17,1LdY-YqIIx-57im7jTSTud5qzEBIm0hkA
2021,1,荒尾四,43:11,1,松山悠南,1,10:18,10:18,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,1,荒尾四,43:11,2,松山美結,3,6:23,16:41,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,1,荒尾四,43:11,3,島添真理,3,7:33,24:14,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,1,荒尾四,43:11,4,島添真実,3,7:55,32:09,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,1,荒尾四,43:11,5,嘉富雅,2,11:02,43:11,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,2,荒尾三,43:34,1,吉里紗和,2,10:51,10:51,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,2,荒尾三,43:34,2,藤好心愛,2,6:57,17:48,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,2,荒尾三,43:34,3,松本りおな,2,7:12,25:00,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,2,荒尾三,43:34,4,飯川紗良,3,7:26,32:26,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,2,荒尾三,43:34,5,一木優咲,3,11:08,43:34,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,3,荒尾海陽,43:42,1,本山怜実,1,10:30,10:30,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,3,荒尾海陽,43:42,2,杉本幸希,1,7:02,17:32,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
2021,3,荒尾海陽,43:42,3,武重安奈,1,6:51,24:23,1t4xKLNQph4mcdKzdXj3NqGxmKG-Y8PPo
